first,second,dists
human_2,duck_1,163942.0
pan_2,bat_2,219764.0
hylobates_2,duck_0,192079.0
bat_0,duck_1,170829.0
hylobates_2,pan_2,65293.0
human_1,duck_2,165962.0
hylobates_1,human_2,242209.0
bat_0,hylobates_0,173683.0
human_1,duck_1,165604.0
duck_1,duck_2,25845.0
human_1,human_0,30901.0
pan_1,hylobates_1,43132.0
hylobates_1,bat_2,258011.0
human_0,duck_2,166876.0
pan_2,duck_2,209616.0
human_0,duck_1,166033.0
bat_2,human_0,115458.0
pan_2,bat_1,218977.0
pan_2,duck_1,209235.0
hylobates_0,human_0,163010.0
hylobates_1,duck_2,233747.0
hylobates_2,bat_1,213498.0
pan_0,hylobates_0,163733.0
hylobates_0,bat_2,174323.0
bat_1,human_0,114138.0
human_0,duck_0,157001.0
pan_1,human_2,228680.0
pan_2,bat_0,218316.0
hylobates_1,duck_0,226617.0
human_1,duck_0,156698.0
hylobates_1,duck_1,233339.0
hylobates_0,duck_0,161590.0
pan_1,duck_0,216049.0
hylobates_0,duck_1,169720.0
pan_1,duck_2,224757.0
hylobates_1,pan_0,79626.0
bat_0,hylobates_1,256550.0
bat_0,pan_0,225018.0
pan_0,human_0,205243.0
pan_1,bat_1,245668.0
pan_0,duck_1,212420.0
hylobates_2,human_1,181579.0
human_1,bat_2,121483.0
pan_0,duck_0,204336.0
hylobates_2,hylobates_0,133447.0
pan_2,duck_0,201043.0
hylobates_2,duck_2,200416.0
hylobates_1,hylobates_0,207156.0
bat_0,human_0,115720.0
bat_2,duck_0,167639.0
bat_1,hylobates_1,257217.0
human_1,hylobates_0,148810.0
bat_0,human_1,120708.0
hylobates_2,bat_0,212661.0
pan_0,bat_2,226520.0
pan_1,human_1,229777.0
hylobates_2,bat_2,214183.0
pan_1,pan_0,48810.0
hylobates_1,human_0,243476.0
hylobates_2,pan_0,48919.0
bat_1,human_1,120335.0
hylobates_0,duck_2,169830.0
pan_2,hylobates_0,174403.0
bat_1,human_2,140902.0
bat_0,pan_1,245010.0
hylobates_0,human_2,98962.0
pan_2,human_1,193291.0
hylobates_1,human_1,243322.0
pan_1,bat_2,246441.0
bat_0,duck_0,167269.0
pan_2,human_0,193767.0
hylobates_2,pan_1,83408.0
bat_2,duck_1,171436.0
bat_0,duck_2,171758.0
pan_1,duck_1,224255.0
pan_2,human_2,192221.0
bat_1,duck_1,171566.0
pan_2,pan_1,47622.0
human_2,duck_2,164362.0
bat_1,bat_2,40363.0
duck_0,duck_2,38111.0
duck_0,duck_1,25754.0
bat_1,duck_2,172391.0
bat_0,bat_2,30517.0
pan_0,human_1,193322.0
pan_1,hylobates_0,194727.0
hylobates_2,duck_1,200298.0
pan_0,duck_2,212781.0
hylobates_2,human_0,196233.0
pan_2,hylobates_1,78721.0
human_1,human_2,74716.0
pan_1,human_0,230036.0
bat_2,duck_2,172484.0
bat_1,pan_0,225732.0
bat_0,human_2,140480.0
hylobates_2,human_2,170581.0
bat_1,duck_0,167636.0
human_2,duck_0,155534.0
hylobates_2,hylobates_1,87810.0
pan_0,human_2,191940.0
bat_0,bat_1,28688.0
human_2,human_0,93178.0
human_2,bat_2,141815.0
pan_2,pan_0,35171.0
bat_1,hylobates_0,174635.0
