set1,set2,dist
0,1,9028.0
0,2,9728.0
0,3,14226.0
0,4,9068.0
0,5,12919.0
0,6,11166.0
0,7,12035.0
0,8,13963.0
0,9,12221.0
0,10,14785.0
0,11,13274.0
0,12,14198.0
0,13,14288.0
0,14,11800.0
0,15,13359.0
0,16,12759.0
0,17,11915.0
0,18,12677.0
0,19,13788.0
0,20,11820.0
0,21,16201.0
0,22,12565.0
0,23,12740.0
0,24,16106.0
0,25,15173.0
0,26,14575.0
0,27,15889.0
0,28,15109.0
0,29,14812.0
0,30,13804.0
0,31,12233.0
0,32,14298.0
0,33,15802.0
0,34,12773.0
0,35,13105.0
0,36,11966.0
0,37,13550.0
0,38,14409.0
0,39,13941.0
0,40,14532.0
0,41,14265.0
0,42,14176.0
0,43,13580.0
0,44,11331.0
0,45,14096.0
0,46,13136.0
0,47,14442.0
0,48,13880.0
0,49,14754.0
0,50,11758.0
0,51,12208.0
0,52,13325.0
0,53,12071.0
0,54,8986.0
0,55,13384.0
0,56,9546.0
0,57,14356.0
0,58,11695.0
0,59,12025.0
0,60,16968.0
0,61,15278.0
0,62,10169.0
0,63,14053.0
0,64,14555.0
0,65,12970.0
0,66,11171.0
0,67,12498.0
0,68,11755.0
0,69,10554.0
0,70,14579.0
0,71,14723.0
0,72,12918.0
0,73,15385.0
0,74,13494.0
0,75,14203.0
0,76,15629.0
0,77,15452.0
0,78,12553.0
0,79,15309.0
0,80,12987.0
0,81,16205.0
0,82,14364.0
0,83,14046.0
0,84,10226.0
0,85,13930.0
0,86,14534.0
0,87,13832.0
0,88,14243.0
0,89,15027.0
0,90,15361.0
0,91,13388.0
0,92,15877.0
0,93,13199.0
0,94,16002.0
0,95,14368.0
0,96,13582.0
0,97,13246.0
0,98,15973.0
0,99,13355.0
0,100,12240.0
0,101,9089.0
0,102,13279.0
0,103,10041.0
0,104,11199.0
0,105,13261.0
0,106,10243.0
0,107,12094.0
0,108,14353.0
0,109,13224.0
0,110,13325.0
0,111,13742.0
0,112,15197.0
0,113,14940.0
0,114,14775.0
0,115,14496.0
0,116,15598.0
0,117,12126.0
0,118,14251.0
0,119,12528.0
0,120,14727.0
0,121,13934.0
0,122,16798.0
0,123,14101.0
0,124,14900.0
0,125,14679.0
0,126,15136.0
0,127,14240.0
0,128,14733.0
0,129,14424.0
0,130,13114.0
0,131,12883.0
0,132,10081.0
0,133,14855.0
0,134,13042.0
0,135,13581.0
0,136,14300.0
0,137,16148.0
0,138,13012.0
0,139,13261.0
0,140,14537.0
0,141,14874.0
0,142,14958.0
0,143,14865.0
0,144,15567.0
0,145,12993.0
0,146,15430.0
0,147,15868.0
0,148,14203.0
0,149,15391.0
0,150,12968.0
0,151,14096.0
0,152,12225.0
0,153,5173.0
0,154,14117.0
0,155,12730.0
0,156,12027.0
0,157,13092.0
0,158,12169.0
0,159,12891.0
0,160,5996.0
0,161,15671.0
0,162,12824.0
0,163,15042.0
0,164,14071.0
0,165,10804.0
0,166,13165.0
0,167,14625.0
0,168,14938.0
0,169,12625.0
0,170,12530.0
0,171,14888.0
0,172,13693.0
0,173,15650.0
0,174,14883.0
0,175,13376.0
0,176,14563.0
0,177,12571.0
0,178,13788.0
0,179,15374.0
0,180,10849.0
0,181,11614.0
0,182,15589.0
0,183,11982.0
0,184,14081.0
0,185,11618.0
0,186,12410.0
0,187,12229.0
0,188,13104.0
0,189,11668.0
0,190,15659.0
0,191,15208.0
0,192,8637.0
0,193,11470.0
0,194,8848.0
0,195,14874.0
0,196,13789.0
0,197,15997.0
0,198,15201.0
0,199,13947.0
1,2,8067.0
1,3,9380.0
1,4,6419.0
1,5,10659.0
1,6,9338.0
1,7,8749.0
1,8,7165.0
1,9,9614.0
1,10,14348.0
1,11,13125.0
1,12,14423.0
1,13,13898.0
1,14,10490.0
1,15,11273.0
1,16,11060.0
1,17,10077.0
1,18,11426.0
1,19,13516.0
1,20,11052.0
1,21,15584.0
1,22,12231.0
1,23,11962.0
1,24,15226.0
1,25,14297.0
1,26,12392.0
1,27,15152.0
1,28,14086.0
1,29,12573.0
1,30,12763.0
1,31,11466.0
1,32,14019.0
1,33,15390.0
1,34,11275.0
1,35,12308.0
1,36,10565.0
1,37,11830.0
1,38,9855.0
1,39,12285.0
1,40,14601.0
1,41,13858.0
1,42,14191.0
1,43,12895.0
1,44,10748.0
1,45,11302.0
1,46,12216.0
1,47,13563.0
1,48,13628.0
1,49,14120.0
1,50,9744.0
1,51,12400.0
1,52,6680.0
1,53,10450.0
1,54,8155.0
1,55,7855.0
1,56,3796.0
1,57,11610.0
1,58,10587.0
1,59,6990.0
1,60,16930.0
1,61,15041.0
1,62,10516.0
1,63,12296.0
1,64,9903.0
1,65,11815.0
1,66,10733.0
1,67,11494.0
1,68,10498.0
1,69,9274.0
1,70,14093.0
1,71,12590.0
1,72,11783.0
1,73,13406.0
1,74,12354.0
1,75,11952.0
1,76,14904.0
1,77,14283.0
1,78,9777.0
1,79,13848.0
1,80,13385.0
1,81,16023.0
1,82,12655.0
1,83,12923.0
1,84,8822.0
1,85,11074.0
1,86,13999.0
1,87,13169.0
1,88,13011.0
1,89,14509.0
1,90,15120.0
1,91,13277.0
1,92,15135.0
1,93,12843.0
1,94,15702.0
1,95,14019.0
1,96,12910.0
1,97,11916.0
1,98,14296.0
1,99,10067.0
1,100,10121.0
1,101,4888.0
1,102,8835.0
1,103,10787.0
1,104,7765.0
1,105,7313.0
1,106,7980.0
1,107,11494.0
1,108,9094.0
1,109,11799.0
1,110,13158.0
1,111,11516.0
1,112,13357.0
1,113,12349.0
1,114,12688.0
1,115,12139.0
1,116,13761.0
1,117,11025.0
1,118,13259.0
1,119,10879.0
1,120,13461.0
1,121,12956.0
1,122,16208.0
1,123,10123.0
1,124,14475.0
1,125,13079.0
1,126,13935.0
1,127,13344.0
1,128,12301.0
1,129,13503.0
1,130,12057.0
1,131,12781.0
1,132,8539.0
1,133,14272.0
1,134,10323.0
1,135,12055.0
1,136,12424.0
1,137,12006.0
1,138,12436.0
1,139,11319.0
1,140,14175.0
1,141,14433.0
1,142,14435.0
1,143,14514.0
1,144,14969.0
1,145,12698.0
1,146,14948.0
1,147,15513.0
1,148,13700.0
1,149,14584.0
1,150,6528.0
1,151,11800.0
1,152,10953.0
1,153,9198.0
1,154,9754.0
1,155,12150.0
1,156,10663.0
1,157,10597.0
1,158,9379.0
1,159,10032.0
1,160,9587.0
1,161,15331.0
1,162,11144.0
1,163,14466.0
1,164,12938.0
1,165,10417.0
1,166,12550.0
1,167,11810.0
1,168,14111.0
1,169,10616.0
1,170,12462.0
1,171,14444.0
1,172,10979.0
1,173,14014.0
1,174,13815.0
1,175,11237.0
1,176,13949.0
1,177,12336.0
1,178,12513.0
1,179,13604.0
1,180,9702.0
1,181,10374.0
1,182,14102.0
1,183,11519.0
1,184,10615.0
1,185,11454.0
1,186,10791.0
1,187,11187.0
1,188,12434.0
1,189,10590.0
1,190,15483.0
1,191,14617.0
1,192,10701.0
1,193,9213.0
1,194,9763.0
1,195,14219.0
1,196,13150.0
1,197,15201.0
1,198,14516.0
1,199,12855.0
2,3,12434.0
2,4,7527.0
2,5,9830.0
2,6,6100.0
2,7,7024.0
2,8,11226.0
2,9,7335.0
2,10,12853.0
2,11,12483.0
2,12,11334.0
2,13,12493.0
2,14,11129.0
2,15,11802.0
2,16,11610.0
2,17,10724.0
2,18,10628.0
2,19,11164.0
2,20,11622.0
2,21,15238.0
2,22,12015.0
2,23,9731.0
2,24,15351.0
2,25,12903.0
2,26,13194.0
2,27,14751.0
2,28,13357.0
2,29,11370.0
2,30,13977.0
2,31,9606.0
2,32,14285.0
2,33,15638.0
2,34,11232.0
2,35,10931.0
2,36,11088.0
2,37,12569.0
2,38,12848.0
2,39,11716.0
2,40,15066.0
2,41,14737.0
2,42,10884.0
2,43,12963.0
2,44,9486.0
2,45,9611.0
2,46,11553.0
2,47,13503.0
2,48,12106.0
2,49,13782.0
2,50,10733.0
2,51,7837.0
2,52,10372.0
2,53,5653.0
2,54,7115.0
2,55,11397.0
2,56,7508.0
2,57,11651.0
2,58,7087.0
2,59,9498.0
2,60,15697.0
2,61,13113.0
2,62,10578.0
2,63,11840.0
2,64,13943.0
2,65,11900.0
2,66,9638.0
2,67,11751.0
2,68,9567.0
2,69,10174.0
2,70,13401.0
2,71,14422.0
2,72,12199.0
2,73,13136.0
2,74,12640.0
2,75,12475.0
2,76,14433.0
2,77,13784.0
2,78,11165.0
2,79,12837.0
2,80,8699.0
2,81,14948.0
2,82,14025.0
2,83,10711.0
2,84,9157.0
2,85,12389.0
2,86,13514.0
2,87,12246.0
2,88,13386.0
2,89,13136.0
2,90,13916.0
2,91,9666.0
2,92,14417.0
2,93,9960.0
2,94,14722.0
2,95,14001.0
2,96,9676.0
2,97,12046.0
2,98,13275.0
2,99,12191.0
2,100,10644.0
2,101,9468.0
2,102,12663.0
2,103,9465.0
2,104,8641.0
2,105,11752.0
2,106,3743.0
2,107,5583.0
2,108,11066.0
2,109,11383.0
2,110,8793.0
2,111,12976.0
2,112,11593.0
2,113,13367.0
2,114,13959.0
2,115,11476.0
2,116,13889.0
2,117,10773.0
2,118,13207.0
2,119,10628.0
2,120,14694.0
2,121,13552.0
2,122,15504.0
2,123,13674.0
2,124,12442.0
2,125,13391.0
2,126,14073.0
2,127,12159.0
2,128,14224.0
2,129,12151.0
2,130,12521.0
2,131,13115.0
2,132,8694.0
2,133,14596.0
2,134,12220.0
2,135,12361.0
2,136,11665.0
2,137,15558.0
2,138,11730.0
2,139,11876.0
2,140,14435.0
2,141,11953.0
2,142,14611.0
2,143,12801.0
2,144,14623.0
2,145,12705.0
2,146,14210.0
2,147,14417.0
2,148,10612.0
2,149,13700.0
2,150,11163.0
2,151,10806.0
2,152,6394.0
2,153,6268.0
2,154,8945.0
2,155,9694.0
2,156,3668.0
2,157,9485.0
2,158,8450.0
2,159,10356.0
2,160,10182.0
2,161,15032.0
2,162,12103.0
2,163,12899.0
2,164,12662.0
2,165,9009.0
2,166,9877.0
2,167,13214.0
2,168,11696.0
2,169,11503.0
2,170,12982.0
2,171,13976.0
2,172,11556.0
2,173,14844.0
2,174,12780.0
2,175,11490.0
2,176,12453.0
2,177,9995.0
2,178,13171.0
2,179,14835.0
2,180,11564.0
2,181,11293.0
2,182,14467.0
2,183,11084.0
2,184,11662.0
2,185,11195.0
2,186,10856.0
2,187,11489.0
2,188,12229.0
2,189,8999.0
2,190,15178.0
2,191,14212.0
2,192,11179.0
2,193,10702.0
2,194,9303.0
2,195,13990.0
2,196,13849.0
2,197,14296.0
2,198,13693.0
2,199,9708.0
3,4,9228.0
3,5,10818.0
3,6,11996.0
3,7,8131.0
3,8,5977.0
3,9,9208.0
3,10,14375.0
3,11,14751.0
3,12,15136.0
3,13,15030.0
3,14,14413.0
3,15,13198.0
3,16,12618.0
3,17,13611.0
3,18,13224.0
3,19,13849.0
3,20,14451.0
3,21,16187.0
3,22,12642.0
3,23,14684.0
3,24,15840.0
3,25,14791.0
3,26,14598.0
3,27,15758.0
3,28,15440.0
3,29,12838.0
3,30,13277.0
3,31,14030.0
3,32,14873.0
3,33,15443.0
3,34,13998.0
3,35,13862.0
3,36,13821.0
3,37,13902.0
3,38,9382.0
3,39,14712.0
3,40,15746.0
3,41,14485.0
3,42,15158.0
3,43,14912.0
3,44,13639.0
3,45,14817.0
3,46,13220.0
3,47,14350.0
3,48,14459.0
3,49,15063.0
3,50,14369.0
3,51,13933.0
3,52,9206.0
3,53,11096.0
3,54,9393.0
3,55,7791.0
3,56,8793.0
3,57,9862.0
3,58,9248.0
3,59,5189.0
3,60,14211.0
3,61,15559.0
3,62,13494.0
3,63,14616.0
3,64,9047.0
3,65,14076.0
3,66,11584.0
3,67,13811.0
3,68,13319.0
3,69,12685.0
3,70,12185.0
3,71,12983.0
3,72,14094.0
3,73,13118.0
3,74,14432.0
3,75,14588.0
3,76,15300.0
3,77,14645.0
3,78,13830.0
3,79,12475.0
3,80,14898.0
3,81,16785.0
3,82,14205.0
3,83,14027.0
3,84,13024.0
3,85,11397.0
3,86,13833.0
3,87,14521.0
3,88,13867.0
3,89,15280.0
3,90,15111.0
3,91,15030.0
3,92,12883.0
3,93,14606.0
3,94,15921.0
3,95,14606.0
3,96,14379.0
3,97,13396.0
3,98,13020.0
3,99,11723.0
3,100,13705.0
3,101,7318.0
3,102,7282.0
3,103,11709.0
3,104,8864.0
3,105,5269.0
3,106,10975.0
3,107,10650.0
3,108,6525.0
3,109,10505.0
3,110,14951.0
3,111,13383.0
3,112,13343.0
3,113,11927.0
3,114,12749.0
3,115,11239.0
3,116,12577.0
3,117,13220.0
3,118,14156.0
3,119,13350.0
3,120,13470.0
3,121,13436.0
3,122,15222.0
3,123,11493.0
3,124,15147.0
3,125,15502.0
3,126,14781.0
3,127,14604.0
3,128,12834.0
3,129,14414.0
3,130,15027.0
3,131,14201.0
3,132,12893.0
3,133,15501.0
3,134,13209.0
3,135,14082.0
3,136,13581.0
3,137,12659.0
3,138,14289.0
3,139,13556.0
3,140,15235.0
3,141,14819.0
3,142,15299.0
3,143,14977.0
3,144,15683.0
3,145,13036.0
3,146,15234.0
3,147,12750.0
3,148,14604.0
3,149,15121.0
3,150,8732.0
3,151,11592.0
3,152,14326.0
3,153,12442.0
3,154,8112.0
3,155,11490.0
3,156,11457.0
3,157,8363.0
3,158,10423.0
3,159,8613.0
3,160,13443.0
3,161,15349.0
3,162,10149.0
3,163,14985.0
3,164,14270.0
3,165,13600.0
3,166,14106.0
3,167,13411.0
3,168,12819.0
3,169,13531.0
3,170,14433.0
3,171,15084.0
3,172,14592.0
3,173,14328.0
3,174,13891.0
3,175,13696.0
3,176,14046.0
3,177,14153.0
3,178,14186.0
3,179,14044.0
3,180,12715.0
3,181,14092.0
3,182,13614.0
3,183,14217.0
3,184,13251.0
3,185,14293.0
3,186,14167.0
3,187,14451.0
3,188,14358.0
3,189,13348.0
3,190,16007.0
3,191,13759.0
3,192,12807.0
3,193,11589.0
3,194,13560.0
3,195,13502.0
3,196,14461.0
3,197,12652.0
3,198,15462.0
3,199,11521.0
4,5,6768.0
4,6,6977.0
4,7,7138.0
4,8,8065.0
4,9,5985.0
4,10,13415.0
4,11,12760.0
4,12,14264.0
4,13,13874.0
4,14,10593.0
4,15,11956.0
4,16,11020.0
4,17,10030.0
4,18,11774.0
4,19,12766.0
4,20,10508.0
4,21,15512.0
4,22,10763.0
4,23,11951.0
4,24,15486.0
4,25,14067.0
4,26,12349.0
4,27,14751.0
4,28,13917.0
4,29,12171.0
4,30,14023.0
4,31,11264.0
4,32,14008.0
4,33,15578.0
4,34,11427.0
4,35,12226.0
4,36,10920.0
4,37,11750.0
4,38,10532.0
4,39,12293.0
4,40,14928.0
4,41,14225.0
4,42,14217.0
4,43,13196.0
4,44,10792.0
4,45,11499.0
4,46,12149.0
4,47,13596.0
4,48,13533.0
4,49,14423.0
4,50,9682.0
4,51,12550.0
4,52,9723.0
4,53,7762.0
4,54,3590.0
4,55,6756.0
4,56,7005.0
4,57,8838.0
4,58,7366.0
4,59,7857.0
4,60,14057.0
4,61,15210.0
4,62,10609.0
4,63,11749.0
4,64,13258.0
4,65,11816.0
4,66,7996.0
4,67,11264.0
4,68,9897.0
4,69,9471.0
4,70,11194.0
4,71,14246.0
4,72,11598.0
4,73,13892.0
4,74,12101.0
4,75,11793.0
4,76,14673.0
4,77,14249.0
4,78,10140.0
4,79,10874.0
4,80,13611.0
4,81,15598.0
4,82,12535.0
4,83,13554.0
4,84,7962.0
4,85,13000.0
4,86,12792.0
4,87,13483.0
4,88,13148.0
4,89,14469.0
4,90,14665.0
4,91,13903.0
4,92,12517.0
4,93,12648.0
4,94,15809.0
4,95,13935.0
4,96,12871.0
4,97,11876.0
4,98,11203.0
4,99,11471.0
4,100,9451.0
4,101,8295.0
4,102,13566.0
4,103,7970.0
4,104,4948.0
4,105,8129.0
4,106,8492.0
4,107,10093.0
4,108,9476.0
4,109,8668.0
4,110,13207.0
4,111,12755.0
4,112,14361.0
4,113,13305.0
4,114,13488.0
4,115,11805.0
4,116,13773.0
4,117,10469.0
4,118,13602.0
4,119,10835.0
4,120,14996.0
4,121,13861.0
4,122,14990.0
4,123,12742.0
4,124,14184.0
4,125,12831.0
4,126,13634.0
4,127,12974.0
4,128,13423.0
4,129,13383.0
4,130,11980.0
4,131,12817.0
4,132,8952.0
4,133,14733.0
4,134,11652.0
4,135,11706.0
4,136,11496.0
4,137,14343.0
4,138,12308.0
4,139,11843.0
4,140,14531.0
4,141,14379.0
4,142,14551.0
4,143,14237.0
4,144,14518.0
4,145,12676.0
4,146,14157.0
4,147,12697.0
4,148,13405.0
4,149,14594.0
4,150,10327.0
4,151,8149.0
4,152,10722.0
4,153,7928.0
4,154,8900.0
4,155,9060.0
4,156,8915.0
4,157,8480.0
4,158,6278.0
4,159,7972.0
4,160,10071.0
4,161,15067.0
4,162,10478.0
4,163,14303.0
4,164,12888.0
4,165,10355.0
4,166,12144.0
4,167,12445.0
4,168,12730.0
4,169,11041.0
4,170,12857.0
4,171,14076.0
4,172,11871.0
4,173,15246.0
4,174,12457.0
4,175,11156.0
4,176,12666.0
4,177,12551.0
4,178,12416.0
4,179,13680.0
4,180,10980.0
4,181,10581.0
4,182,13056.0
4,183,11695.0
4,184,10897.0
4,185,11847.0
4,186,10607.0
4,187,11177.0
4,188,12594.0
4,189,10536.0
4,190,15162.0
4,191,13921.0
4,192,10317.0
