Graph idx	Diameter
0	219.0
1	8367.0
2	6880.0
3	8682.0
4	9423.0
5	8272.0
6	8668.0
7	11074.0
8	8841.0
9	10117.0
10	8242.0
11	6300.0
12	7751.0
13	9925.0
14	3107.0
15	10504.0
16	8844.0
17	9717.0
18	10695.0
19	10398.0
20	158.0
21	7301.0
22	7001.0
23	7513.0
24	9637.0
25	11137.0
26	11539.0
27	8689.0
28	9799.0
29	11967.0
30	5711.0
31	5408.0
32	7445.0
33	7254.0
34	8451.0
35	10170.0
36	10948.0
37	10859.0
38	12048.0
39	11714.0
40	4000.0
41	7518.0
42	6482.0
43	10166.0
44	7372.0
45	10369.0
46	11238.0
47	7619.0
48	11331.0
49	11685.0
